[INFO] [2019-08-01 16:20:45][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 16:20:45][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@13c9d689, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3754a4bf, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@62379589, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4afcd809, org.springframework.test.context.transaction.TransactionalTestExecutionListener@175c2241, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5bf0d49]
[INFO] [2019-08-01 16:37:25][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 16:37:25][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3c41ed1d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@54d9d12d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@38425407, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43bc63a3, org.springframework.test.context.transaction.TransactionalTestExecutionListener@702657cc, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6a6cb05c]
[INFO] [2019-08-01 17:14:27][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 17:14:27][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3c41ed1d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@54d9d12d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@38425407, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43bc63a3, org.springframework.test.context.transaction.TransactionalTestExecutionListener@702657cc, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6a6cb05c]
[INFO] [2019-08-01 19:58:28][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 19:58:28][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7e0b0338, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@617faa95, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1e127982, org.springframework.test.context.support.DirtiesContextTestExecutionListener@60c6f5b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2038ae61, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3c0f93f1]
[INFO] [2019-08-01 20:39:50][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 20:39:50][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 20:53:14][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
